,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
lorengau,-2.0226,147.2712,81.23,77,1.23031458,37,Papua New Guinea,1635185000,1
darhan,49.4867,105.9228,34.93,74,2.19343963,7,Mongolia,1635185000,0
hirara,24.8,125.2833,76.41,66,5.7103994899999995,13,Japan,1635185000,0
phan thiet,10.9333,108.1,77.0,88,0.65865326,100,Viet Nam,1635184854,0
yuanping,38.7153,112.7575,50.0,52,0.8699194,68,China,1635185001,0
bathsheba,13.2167,-59.5167,83.5,68,5.7787503000000005,100,Barbados,1635185001,0
luderitz,-26.6481,15.1594,59.59,81,1.28623797,9,Namibia,1635185001,1
ancud,-41.8697,-73.8203,57.42,86,3.36161711,100,Chile,1635185001,1
coquimbo,-29.9533,-71.3436,61.77,73,2.93908483,18,Chile,1635184888,1
talnakh,69.4865,88.3972,18.97,96,2.14372995,100,Russian Federation,1635184842,0
ozernovskiy,51.5,156.5167,39.42,83,3.03229048,83,Russian Federation,1635185002,0
iqaluit,63.7506,-68.5145,32.7,69,1.6652742800000002,94,Canada,1635185002,0
jogindarnagar,31.9833,76.7667,57.99,46,1.6901291200000002,0,India,1635185003,0
canton,23.1167,113.25,69.01,66,1.35458878,18,China,1635184863,0
vodnyy,63.5046,53.4095,23.25,98,0.93827021,93,Russian Federation,1635185003,0
arman,59.7,150.1667,22.15,73,1.09361296,51,Russian Federation,1635185003,0
adrar,20.5022,-10.0711,91.98,17,1.7895484799999999,18,Mauritania,1635185003,0
steamboat springs,40.485,-106.8317,65.91,43,0.0,40,United States of America,1635185004,0
copiapo,-27.3667,-70.3333,60.49,29,2.06916543,2,Chile,1635185004,1
wanxian,30.8039,108.3897,64.27,78,0.47224196,100,China,1635185004,0
yulara,-25.2406,130.9889,73.24,31,1.28002426,54,Australia,1635185005,1
los llanos de aridane,28.6585,-17.9182,69.55,72,2.22450818,75,Spain,1635185005,0
weligama,5.9667,80.4167,76.66,92,2.0815928500000003,100,Sri Lanka,1635185005,0
camacha,33.0833,-16.3333,67.42,73,4.4738712000000005,75,Portugal,1635185005,0
saint-leu,-21.15,55.2833,74.26,93,0.73943149,24,Réunion,1635185006,1
oktyabrskoye,43.0645,44.7417,35.74,100,1.8641130000000001,100,Russian Federation,1635185006,0
westport,41.1415,-73.3579,75.09,84,0.55302019,1,United States of America,1635185006,0
broome,42.2506,-75.833,73.71,59,0.55302019,1,United States of America,1635185007,0
razole,16.4833,81.8333,74.44,84,0.77671375,34,India,1635185007,0
juneau,58.3019,-134.4197,42.84,87,1.2738105499999999,99,United States of America,1635184930,0
moose factory,51.2585,-80.6094,40.98,100,1.59692347,90,Canada,1635185007,0
ossora,59.2353,163.0719,27.07,82,2.6718953,100,Russian Federation,1635185007,0
arraial do cabo,-22.9661,-42.0278,71.46,73,2.2369356000000002,75,Brazil,1635185008,1
korem,12.5058,39.5228,57.42,54,0.8699194,34,Ethiopia,1635185008,0
itaquyry,-24.9333,-55.2167,86.22,36,1.01904844,0,Paraguay,1635185008,1
coria,39.9879,-6.5377,66.45,41,0.53437906,72,Spain,1635185009,0
haapiti,-17.5667,-149.8667,78.53,72,0.09320565,95,French Polynesia,1635185009,1
northam,51.0333,-4.2167,55.02,86,3.17520581,42,United Kingdom of Great Britain and Northern Ireland,1635185009,0
krutikha,53.9599,81.2093,43.79,60,1.36080249,97,Russian Federation,1635185009,0
tasiilaq,65.6145,-37.6368,33.96,82,5.865742239999999,100,Greenland,1635185010,0
margate,51.3813,1.3862,55.96,88,1.39187104,24,United Kingdom of Great Britain and Northern Ireland,1635184853,0
sechelt,49.4664,-123.7694,53.64,87,4.02648408,100,Canada,1635185010,0
ardakan,32.31,54.0175,62.98,20,0.26097581999999997,0,"Iran, Islamic Republic of",1635185010,0
fortuna,40.5982,-124.1573,57.97,68,0.27961695000000003,40,United States of America,1635185011,0
